Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths,daily cases,daily deaths,posratio
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-30,4383.0,3409.0,192.0,19.0,1.0,0.004334930412959161
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-01,3207.0,3432.0,192.0,23.0,0.0,0.007171811661989398
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-02,4445.0,3458.0,192.0,26.0,0.0,0.005849268841394826
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-03,5024.0,3486.0,192.0,28.0,0.0,0.005573248407643312
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-04,6252.0,3511.0,192.0,25.0,0.0,0.00399872040946897
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-05,5451.0,3519.0,192.0,8.0,0.0,0.001467620620069712
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-06,3174.0,3562.0,192.0,43.0,0.0,0.013547574039067423
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-07,8756.0,3589.0,193.0,27.0,1.0,0.0030835998172681588
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-08,6106.0,3622.0,193.0,33.0,0.0,0.005404520144120537
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-09,3535.0,3672.0,193.0,50.0,0.0,0.014144271570014143
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-10,4687.0,3732.0,193.0,60.0,0.0,0.012801365478984425
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-11,7755.0,3772.0,193.0,40.0,0.0,0.0051579626047711154
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-12,2765.0,3803.0,193.0,31.0,0.0,0.011211573236889693
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-13,8520.0,3826.0,193.0,23.0,0.0,0.002699530516431925
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-14,3855.0,3883.0,193.0,57.0,0.0,0.014785992217898832
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-15,5466.0,3910.0,193.0,27.0,0.0,0.004939626783754116
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-16,6574.0,3939.0,193.0,29.0,0.0,0.004411317310617584
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-17,4325.0,3964.0,194.0,25.0,1.0,0.005780346820809248
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-18,3368.0,3983.0,194.0,19.0,0.0,0.0056413301662707836
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-19,4726.0,4007.0,194.0,24.0,0.0,0.0050782903089293275
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-20,2994.0,4012.0,195.0,5.0,1.0,0.0016700066800267202
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-21,6146.0,4048.0,197.0,36.0,2.0,0.00585746827204686
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-22,4769.0,4077.0,200.0,29.0,3.0,0.006080939400293563
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-23,6189.0,4110.0,201.0,33.0,1.0,0.005332040717401842
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-24,5646.0,4135.0,201.0,25.0,0.0,0.004427913567127169
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-27,3632.0,4227.0,202.0,34.0,0.0,0.009361233480176211
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-28,6223.0,4279.0,203.0,52.0,1.0,0.00835609834484975
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-29,53889.0,4336.0,203.0,57.0,0.0,0.0010577297778767466
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-07-30,8458.0,4401.0,203.0,65.0,0.0,0.007685031922440294
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-02,5946.0,4662.0,208.0,75.0,2.0,0.012613521695257316
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-03,19417.0,4737.0,209.0,75.0,1.0,0.0038625946335685223
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-04,34853.0,4855.0,209.0,118.0,0.0,0.0033856482942644824
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-05,9874.0,4974.0,210.0,119.0,1.0,0.012051853352238202
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-06,9810.0,5123.0,210.0,149.0,0.0,0.015188583078491335
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-07,11590.0,5270.0,210.0,147.0,0.0,0.01268334771354616
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-08,9314.0,5421.0,211.0,151.0,1.0,0.016212153747047455
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-09,10701.0,5623.0,212.0,202.0,1.0,0.018876740491542848
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-10,7180.0,5749.0,213.0,126.0,1.0,0.01754874651810585
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-11,10561.0,5942.0,214.0,193.0,1.0,0.018274784584793105
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-12,11046.0,6177.0,216.0,235.0,2.0,0.021274669563642948
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-13,7553.0,6381.0,221.0,204.0,5.0,0.027009135442870383
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-14,17583.0,6632.0,223.0,251.0,2.0,0.014275152135585509
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-15,10582.0,6858.0,226.0,226.0,3.0,0.021357021357021357
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-16,3808.0,7075.0,228.0,217.0,2.0,0.05698529411764706
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-17,7650.0,7222.0,230.0,147.0,2.0,0.019215686274509803
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-18,13910.0,7472.0,232.0,250.0,2.0,0.017972681524083392
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-19,63411.0,7684.0,235.0,212.0,3.0,0.003343268518080459
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-20,12168.0,7934.0,235.0,250.0,0.0,0.020545693622616698
